               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11413,            0.017887,            0.064299,           0.0026042,             0.21071,           0.0042007,          0.00085183,             0.10477,            0.015451,            0.062909,              0.0955,              0.0005,              0.0005
                   1,              0.1122,            0.021803,            0.064244,           0.0035288,             0.20844,           0.0041982,          0.00077464,              0.1035,            0.015777,             0.06285,            0.090097,           0.0010973,           0.0010973
                   2,             0.10921,            0.022004,            0.063894,           0.0026042,             0.14594,           0.0025729,          0.00056571,             0.10249,            0.016037,            0.062795,            0.084692,           0.0016916,           0.0016916
                   3,             0.11063,            0.022165,            0.063986,           0.0030382,             0.18761,           0.0032594,          0.00058656,             0.10194,            0.016179,            0.062761,            0.079283,           0.0022829,           0.0022829
                   4,             0.10859,            0.023495,            0.063659,           0.0026042,             0.16975,           0.0026226,          0.00055516,             0.10134,             0.01633,            0.062722,            0.073871,           0.0028713,           0.0028713
                   5,             0.10723,             0.02314,             0.06364,           0.0026042,             0.16975,           0.0025471,          0.00052292,             0.10073,            0.016474,            0.062685,            0.068457,           0.0034567,           0.0034567
                   6,             0.10657,            0.027192,            0.063222,           0.0026042,             0.16975,           0.0025656,          0.00049188,             0.10014,            0.016613,            0.062648,            0.063039,           0.0040391,           0.0040391
                   7,             0.10522,            0.026364,            0.063364,           0.0028212,             0.23225,           0.0027487,           0.0006588,            0.099577,            0.016729,            0.062614,            0.057619,           0.0046186,           0.0046186
                   8,             0.10339,            0.021089,            0.063187,           0.0028212,             0.23225,              0.0026,          0.00061806,            0.099172,             0.01682,            0.062582,            0.052195,           0.0051951,           0.0051951
                   9,             0.10399,            0.023858,            0.062787,           0.0028212,             0.23225,           0.0025552,          0.00058926,             0.09894,            0.016879,            0.062554,            0.046769,           0.0057686,           0.0057686
                  10,             0.10345,            0.023936,            0.062818,           0.0028212,             0.23225,           0.0025776,          0.00059459,            0.098767,            0.016929,            0.062528,            0.041339,           0.0063391,           0.0063391
                  11,             0.10274,            0.021329,            0.062581,           0.0028327,             0.23225,           0.0025838,          0.00054349,            0.098678,            0.016969,            0.062508,            0.035907,           0.0069067,           0.0069067
                  12,             0.10281,            0.026473,            0.062487,           0.0029612,             0.23225,           0.0027577,          0.00046199,            0.098605,            0.017016,            0.062482,            0.030471,           0.0074713,           0.0074713
                  13,             0.10215,            0.027867,            0.062353,           0.0029965,             0.23225,           0.0036597,          0.00068731,             0.09864,            0.017053,             0.06244,            0.025033,           0.0080329,           0.0080329
